time,Base Model,DURS Model,CE Model,ET Model,CE & ET Model
1900.0,0.05,0.05,0.05,0.05,0.05
1900.5,0.05,0.05,0.05,0.05,0.05
1901.0,0.05,0.05,0.05,0.04963479030952178,0.04963483040670266
1901.5,0.05,0.05,0.05,0.04927326564698252,0.049273345445691105
1902.0,0.05,0.05,0.05,0.04891789354742489,0.048918012328880406
1902.5,0.05,0.05,0.05,0.0485685077931825,0.04856866489379135
1903.0,0.05,0.05,0.05,0.04822506270824547,0.04822525749644767
1903.5,0.05,0.05,0.05,0.04788748238146426,0.04788771426951044
1904.0,0.05,0.05,0.05,0.04755566567841015,0.047555934127585714
1904.5,0.05,0.05,0.05,0.04722808978767851,0.047228394487688875
1905.0,0.05,0.05,0.05,0.04690472925780836,0.04690506990552351
1905.5,0.05,0.05,0.05,0.04658546904467513,0.046585845374808574
1906.0,0.05,0.05,0.05,0.04626848658155569,0.046268898577152745
1906.5,0.05,0.05,0.05,0.04595562087710365,0.04595606827095685
1907.0,0.05,0.05,0.05,0.04564665708273591,0.04564713967420545
1907.5,0.05,0.05,0.05,0.04534152140009416,0.04534203900147977
1908.0,0.05,0.05,0.05,0.04504015390461123,0.04504070633768981
1908.5,0.05,0.05,0.05,0.04474250470633325,0.044743091799356996
1909.0,0.05,0.05,0.05,0.04444853213487951,0.04444915372042062
1909.5,0.05,0.05,0.05,0.04415819985735235,0.044158855771114225
1910.0,0.05,0.05,0.05,0.04387147692050336,0.04387216700010973
1910.5,0.05,0.05,0.05,0.04358833734440394,0.04358906142872529
1911.0,0.05,0.05,0.05,0.04332059350811075,0.04332134701017146
1911.5,0.05,0.05,0.05,0.043099269077215056,0.04310003948476072
1912.0,0.05,0.05,0.05,0.04291086221277142,0.04291164857696304
1912.5,0.05,0.05,0.05,0.042747696667656716,0.042748497798135526
1913.0,0.05,0.05,0.05,0.042607916206941945,0.042608729682752186
1913.5,0.05,0.05,0.05,0.042493973910826766,0.042494796152263724
1914.0,0.05,0.05,0.05,0.042399405497654925,0.042400235952664
1914.5,0.05,0.05,0.05,0.04232015910660257,0.04232099711533632
1915.0,0.05,0.05,0.05,0.04225344173826498,0.0422542866552241
1915.5,0.05,0.05,0.05,0.042197228557224145,0.042198079776004094
1916.0,0.05,0.05,0.05,0.04214853669245329,0.04214939428608072
1916.5,0.05,0.05,0.05,0.04210484301446177,0.04210570715515138
1917.0,0.05,0.05,0.05,0.04206582086501242,0.042066691159019676
1917.5,0.05,0.05,0.05,0.042031152001526295,0.042032028084127614
1918.0,0.05,0.05,0.05,0.04200055299231514,0.04200143451952411
1918.5,0.05,0.05,0.05,0.0419737676159604,0.0419746542637066
1919.0,0.05,0.05,0.05,0.04195056305056403,0.04195145451367371
1919.5,0.05,0.05,0.05,0.04193069142934694,0.041931587454478954
1920.0,0.05,0.05,0.05,0.04191331198786391,0.041914212571056354
1920.5,0.05,0.05,0.05,0.04189833032561717,0.04189923525930841
1921.0,0.05,0.05,0.05,0.0418856496533717,0.04188655874249845
1921.5,0.05,0.05,0.05,0.04187517828977863,0.041876091349174555
1922.0,0.05,0.05,0.05,0.041866828763554104,0.04186774561791845
1922.5,0.05,0.05,0.05,0.04186051755249351,0.041861438036156634
1923.0,0.05,0.05,0.05,0.04185616483065787,0.041857088787330535
1923.5,0.05,0.05,0.05,0.04185344907613531,0.04185437650619915
1924.0,0.05,0.05,0.05,0.041851476634233414,0.04185240777444063
1924.5,0.05,0.05,0.05,0.041856232285271536,0.04185715144689618
1925.0,0.05,0.05,0.05,0.04189133830058911,0.04189225400364365
1925.5,0.05,0.05,0.05,0.04193059596881342,0.041931507843504925
1926.0,0.05,0.05,0.05,0.04197402533276219,0.04197493309698669
1926.5,0.05,0.05,0.05,0.042021379282921524,0.04202228268251014
1927.0,0.05,0.05,0.05,0.04207240384909647,0.042073302654644096
1927.5,0.05,0.05,0.05,0.04212684637827392,0.04212774038282299
1928.0,0.05,0.05,0.05,0.04218553292917647,0.042186421919025885
1928.5,0.05,0.05,0.05,0.04224709518481168,0.0422479789360998
1929.0,0.05,0.05,0.05,0.04231124354627945,0.04231212192053286
1929.5,0.05,0.05,0.05,0.042377777080355686,0.04237864995379745
1930.0,0.05,0.05,0.05,0.04244650205502931,0.04244736931839024
1930.5,0.05,0.05,0.05,0.0425172331566988,0.04251809471430394
1931.0,0.05,0.05,0.05,0.042739344656110526,0.04274018291885045
1931.5,0.05,0.05,0.05,0.04295973952871695,0.04296055481401106
1932.0,0.05,0.05,0.05,0.043178823211154065,0.04317961562891695
1932.5,0.05,0.05,0.05,0.04339653872560277,0.04339730838290147
1933.0,0.05,0.05,0.05,0.04361282850840945,0.043613575507672635
1933.5,0.05,0.05,0.05,0.04382791089451489,0.04382863544921414
1934.0,0.05,0.05,0.05,0.04404157012607143,0.04404227217139774
1934.5,0.05,0.05,0.05,0.04425354331451988,0.04425422294895172
1935.0,0.05,0.05,0.05,0.04446370301631786,0.044464360341989626
1935.5,0.05,0.05,0.05,0.04467193418686355,0.04467256930924178
1936.0,0.05,0.05,0.05,0.04487813385671642,0.04487874688368162
1936.5,0.05,0.05,0.05,0.045082141605781445,0.045082732655644414
1937.0,0.05,0.05,0.05,0.04528388232461525,0.04528445151542229
1937.5,0.05,0.05,0.05,0.045483289105213626,0.04548383655465295
1938.0,0.05,0.05,0.05,0.045680302179210854,0.04568082800419716
1938.5,0.05,0.05,0.05,0.045874868518478065,0.045875372834786696
1939.0,0.05,0.05,0.05,0.04606694145530976,0.04606742437724935
1939.5,0.05,0.05,0.05,0.046256480309139175,0.04625694194926158
1940.0,0.05,0.05,0.05,0.04644344999225813,0.04644389046111057
1940.5,0.05,0.05,0.05,0.04662782066103109,0.04662824006693571
1941.0,0.05,0.05,0.05,0.04680495352147081,0.04680535272852959
1941.5,0.05,0.05,0.05,0.046962803607505016,0.04696318489293624
1942.0,0.05,0.05,0.05,0.04710644512189681,0.047106810137906255
1942.5,0.05,0.05,0.05,0.04723907376312727,0.047239423775528214
1943.0,0.05,0.05,0.05,0.047361592590715096,0.04736192887031758
1943.5,0.05,0.05,0.05,0.04747312636652261,0.04747345016161625
1944.0,0.05,0.05,0.05,0.04757624323981707,0.047576555530495716
1944.5,0.05,0.05,0.05,0.04767257794042652,0.04767287950516266
1945.0,0.05,0.05,0.05,0.0477632569174772,0.04776354839565505
1945.5,0.05,0.05,0.05,0.04784909820416472,0.04784938013419382
1946.0,0.05,0.05,0.05,0.04793128022790808,0.047931552970100794
1946.5,0.05,0.05,0.05,0.04801078547009455,0.048011049278132885
1947.0,0.05,0.05,0.05,0.048087757753770964,0.04808801286566078
1947.5,0.05,0.05,0.05,0.04816232806376371,0.04816257470145636
1948.0,0.05,0.05,0.05,0.048234612289566534,0.04823485066565332
1948.5,0.05,0.05,0.05,0.04830471414162151,0.048304944453014566
1949.0,0.05,0.05,0.05,0.048372729508280324,0.0483729519393433
1949.5,0.05,0.05,0.05,0.04843875969006122,0.04843897440509058
1950.0,0.05,0.05,0.05,0.048503121684154035,0.04850332880998977
1950.5,0.05,0.05,0.05,0.048565859459554675,0.048566059118170996
1951.0,0.05,0.05,0.05,0.048627015474378116,0.04862720778308542
1951.5,0.05,0.05,0.05,0.04868663033923971,0.048686815410978454
1952.0,0.05,0.05,0.05,0.0487447429757059,0.04874492091929601
1952.5,0.05,0.05,0.05,0.048800663009097536,0.0488008428749255
1953.0,0.05,0.05,0.05,0.04885286775616613,0.048853053950502365
1953.5,0.05,0.05,0.05,0.048900739362394266,0.048900936076293734
1954.0,0.05,0.05,0.05,0.048943953353601195,0.0489441645547235
1954.5,0.05,0.05,0.05,0.04898166394783737,0.04898189412547679
1955.0,0.05,0.05,0.05,0.04901207264181455,0.04901232550208995
1955.5,0.05,0.05,0.05,0.0490350111039506,0.04903529004475009
1956.0,0.05,0.05,0.05,0.049050396568464626,0.04905070463610453
1956.5,0.05,0.05,0.05,0.049058254099573366,0.04905859395112459
1957.0,0.05,0.05,0.05,0.04905871640912841,0.04905909027747689
1957.5,0.05,0.05,0.05,0.04905202183700926,0.049052431500989147
1958.0,0.05,0.05,0.05,0.049038510328959825,0.04903895709109954
1958.5,0.05,0.05,0.05,0.049018617070265405,0.049019101744615726
1959.0,0.05,0.05,0.05,0.04899286357450932,0.04899338648663254
1959.5,0.05,0.05,0.05,0.04896184621780874,0.04896240721832466
1960.0,0.05,0.05,0.05,0.04892622242580302,0.048926820917985205
1960.5,0.05,0.05,0.05,0.048886694935465866,0.04888732991636752
1961.0,0.05,0.05,0.05,0.04884399473744763,0.048844664851040505
1961.5,0.05,0.05,0.05,0.04879905078024452,0.04879975259026786
1962.0,0.05,0.05,0.05,0.048752562061141314,0.048753295140892564
1962.5,0.05,0.05,0.05,0.04870509727282869,0.0487058597689389
1963.0,0.05,0.05,0.05,0.048657292982160164,0.04865808299326749
1963.5,0.05,0.05,0.05,0.048609729347728295,0.048610545009752426
1964.0,0.05,0.05,0.05,0.04856292125602002,0.04856376080690761
1964.5,0.05,0.05,0.05,0.04851731227479343,0.04851817411271322
1965.0,0.05,0.05,0.05,0.04847327068347511,0.04847415341767761
1965.5,0.05,0.05,0.05,0.0484310876238807,0.04843199011823006
1966.0,0.05,0.05,0.05,0.04839044503907643,0.04839137044093437
1966.5,0.05,0.05,0.05,0.04835210992115783,0.04835305353977627
1967.0,0.05,0.05,0.05,0.04831622688029061,0.048317187939221656
1967.5,0.05,0.05,0.05,0.04828286757775373,0.04828384562129598
1968.0,0.05,0.05,0.05,0.04825204001377349,0.04825303490106943
1968.5,0.05,0.05,0.05,0.048223513455897024,0.04822452871420621
1969.0,0.05,0.05,0.05,0.04819721356740595,0.048198245858959016
1969.5,0.05,0.05,0.05,0.04817328858540636,0.04817433812696821
1970.0,0.05,0.05,0.05,0.04815160343469107,0.04815267074955387
1970.5,0.05,0.05,0.05,0.04813198251613744,0.04813306842426503
1971.0,0.05,0.05,0.05,0.04811421538875446,0.048115321011854645
1971.5,0.05,0.05,0.05,0.04809780107925225,0.04809893545230988
1972.0,0.05,0.05,0.05,0.04808246165243592,0.04808361653066122
1972.5,0.05,0.05,0.05,0.04806856300213301,0.04806973826283527
1973.0,0.05,0.05,0.05,0.048055960210139664,0.048057155923046276
1973.5,0.05,0.05,0.05,0.04804449012880415,0.048045706547785325
1974.0,0.05,0.05,0.05,0.04803397544555635,0.04803521301950646
1974.5,0.05,0.05,0.05,0.04802422763655687,0.048025487010285056
1975.0,0.05,0.05,0.05,0.04801500499510436,0.04801628697983987
1975.5,0.05,0.05,0.05,0.04800608487849527,0.04800739057890048
1976.0,0.05,0.05,0.05,0.04799731539911335,0.04799864604999299
1976.5,0.05,0.05,0.05,0.047988586537124775,0.0479899389243547
1977.0,0.05,0.05,0.05,0.04797981506174817,0.04798119740475853
1977.5,0.05,0.05,0.05,0.04797047061457685,0.047971886296227784
1978.0,0.05,0.05,0.05,0.04796028381114676,0.04796173641886034
1978.5,0.05,0.05,0.05,0.047948995010542145,0.04795048835468605
1979.0,0.05,0.05,0.05,0.047936354500603386,0.04793789261540267
1979.5,0.05,0.05,0.05,0.04792212279648804,0.04792370995334945
1980.0,0.05,0.05,0.05,0.04790606967658746,0.047907710412940466
1980.5,0.05,0.05,0.05,0.047887972761294,0.04788967192542957
1981.0,0.05,0.05,0.05,0.047867443147394925,0.04786921914885746
1981.5,0.05,0.05,0.05,0.0478451945034708,0.047847102522383986
1982.0,0.05,0.05,0.05,0.04783155292395423,0.04783351354363892
1982.5,0.05,0.05,0.05,0.04781578640688684,0.04781779707174231
1983.0,0.05,0.05,0.05,0.04779820403047004,0.04780026334574185
1983.5,0.05,0.05,0.05,0.04777967775417849,0.047781772976054404
1984.0,0.05,0.05,0.05,0.047759929831237995,0.04776207507964354
1984.5,0.05,0.05,0.05,0.04773901882071038,0.04774121666790202
1985.0,0.05,0.05,0.05,0.04771700884451576,0.04771926251853195
1985.5,0.05,0.05,0.05,0.04769388879219305,0.04769620234140373
1986.0,0.05,0.05,0.05,0.04766805908638949,0.047670473390334686
1986.5,0.05,0.05,0.05,0.047640957085758585,0.047643434227958005
1987.0,0.05,0.05,0.05,0.047613025749848215,0.047615564372243305
1987.5,0.05,0.05,0.05,0.04758433593968722,0.04758693534513747
1988.0,0.05,0.05,0.05,0.04755491041955763,0.04755757039967899
1988.5,0.05,0.05,0.05,0.04751988766461402,0.0475225322330866
1989.0,0.05,0.05,0.05,0.04747820486623319,0.0474809214759121
1989.5,0.05,0.05,0.05,0.04743554689701898,0.04743833843855633
1990.0,0.05,0.05,0.05,0.04739145532681413,0.04739433689133818
1990.5,0.05,0.05,0.05,0.04734638422355846,0.04734934366855067
1991.0,0.05,0.05,0.05,0.04730063060809761,0.047303668000255754
1991.5,0.05,0.05,0.05,0.047254312031941595,0.047257427704479195
1992.0,0.05,0.05,0.05,0.04720753867141046,0.04721073317154746
1992.5,0.05,0.05,0.05,0.047160415766447666,0.04716368990542209
1993.0,0.05,0.05,0.05,0.04711304225028677,0.04711639712049319
1993.5,0.05,0.05,0.05,0.04706551217614298,0.04706894915351422
1994.0,0.05,0.05,0.05,0.047017916537699565,0.047021437279827515
1994.5,0.05,0.05,0.05,0.046970344707264675,0.046973951148256296
1995.0,0.05,0.05,0.05,0.04692288546784213,0.04692657981054106
1995.5,0.05,0.05,0.05,0.046875627632035344,0.0468794123374667
1996.0,0.05,0.05,0.05,0.046828660358933974,0.04683253813916695
1996.5,0.05,0.05,0.05,0.046782053028774265,0.04678602698381018
1997.0,0.05,0.05,0.05,0.046735871409495554,0.046739944900571095
1997.5,0.05,0.05,0.05,0.04669017994951804,0.046694356568014475
1998.0,0.05,0.05,0.05,0.04664504103612202,0.046649324589413926
1998.5,0.05,0.05,0.05,0.04660051401403559,0.04660490851177332
1999.0,0.05,0.05,0.05,0.04655664395344339,0.04656115378531297
1999.5,0.05,0.05,0.05,0.046513457206356475,0.04651808697674966
2000.0,0.05,0.05,0.05,0.04647097283014034,0.04647572733331962
2000.5,0.05,0.05,0.05,0.04642920257365418,0.04643408678421537
2001.0,0.05,0.05,0.05,0.04638814992996629,0.046393168995766176
2001.5,0.05,0.05,0.05,0.04634780988077404,0.04635296916665993
2002.0,0.05,0.05,0.05,0.046308144610421306,0.046313450373099044
2002.5,0.05,0.05,0.05,0.04626909500933935,0.04627455377290776
2003.0,0.05,0.05,0.05,0.046230567813910856,0.0462361862473732
2003.5,0.05,0.05,0.05,0.046192337107306414,0.04619813107616791
2004.0,0.05,0.05,0.05,0.04615431178719165,0.04616027631710389
2004.5,0.05,0.05,0.05,0.04611660379171709,0.04612274383227773
2005.0,0.05,0.05,0.05,0.04607915712941092,0.046085477809035005
2005.5,0.05,0.05,0.05,0.04604190811066801,0.04604841480692516
2006.0,0.05,0.05,0.05,0.04600476725350012,0.04601146377460828
2006.5,0.05,0.05,0.05,0.04596731473125331,0.04597420821466425
2007.0,0.05,0.05,0.05,0.045929590334792644,0.04593668728712702
2007.5,0.05,0.05,0.05,0.04589160691980697,0.045898913991423346
2008.0,0.05,0.05,0.05,0.04585334541357408,0.04586086957011096
2008.5,0.05,0.05,0.05,0.04581476916755888,0.04582251778066178
2009.0,0.052049738895016365,0.05,0.05,0.04577583163439536,0.045783812535514085
2009.5,0.05580470284121727,0.05,0.05,0.04573648054648502,0.045744702057360906
2010.0,0.059592330073991805,0.05,0.05,0.045696660565955616,0.045705131511847165
2010.5,0.06341208970235741,0.05,0.05,0.04565631538216213,0.04566504509013297
2011.0,0.06726334689875081,0.05,0.05,0.04561538976773972,0.04562438804999916
2011.5,0.07114542148241657,0.05,0.05,0.045573803920993,0.04558308313544833
2012.0,0.0750575908138664,0.05,0.05,0.045531388706744114,0.04554096182132544
2012.5,0.07899906593438441,0.05,0.05,0.04548798080561829,0.0454978616330736
2013.0,0.08296899791353832,0.05,0.05,0.04544347154638003,0.045453674263353755
2013.5,0.0869664872115645,0.05,0.05,0.04539775941128768,0.045408298508071335
2014.0,0.09099058646702621,0.05,0.05,0.045350797711635846,0.04536168692217511
2014.5,0.09504030495776841,0.05,0.05,0.045302562318178634,0.04531381546218168
2015.0,0.09911461438056915,0.0503826419578341,0.05043536947827398,0.045253049593241224,0.045264680750091775
2015.5,0.10642482383105716,0.052421180052310584,0.05192929841296372,0.04520230314062409,0.045214326196843804
2016.0,0.11462412057627379,0.05513351843317646,0.05342848192132171,0.04515035709800167,0.04516278591855703
2016.5,0.12281297337557899,0.05786023942261147,0.055015275392671564,0.045097114660994427,0.045109966342653685
2017.0,0.13098840956394978,0.060601113603696466,0.05767859143726791,0.04504245542773318,0.045055747435841544
2017.5,0.13914683080932572,0.06335591447385741,0.06035400894316573,0.04498626961838387,0.04500001960945038
2018.0,0.14728376581978592,0.06612441658309054,0.06304125419080381,0.044928461040431314,0.04494268681746892
2018.5,0.15539480118186916,0.06890639015852082,0.06574005446629143,0.04486894784069803,0.044883667312354214
2019.0,0.16347559425653813,0.07170160603550886,0.06845012383543775,0.04480766253534668,0.044822893687219825
2019.5,0.1715218842444879,0.07450983589556126,0.07117116059125411,0.04474452730980888,0.04476028782372244
2020.0,0.1795295019104564,0.07733085062261755,0.07390284813020159,0.04467931524736176,0.04469566291265153
2020.5,0.18749437824105997,0.08016441930844989,0.07664486061850334,0.044611535613377024,0.044628440970871416
2021.0,0.19541255219586756,0.08301030917933142,0.07939686625427693,0.04452293627353053,0.044538755932854356
2021.5,0.20984053294820856,0.08586828602013621,0.08215852935430747,0.04441744446127491,0.04443390805732944
2022.0,0.23300551711796466,0.08873810591171363,0.08492951340266319,0.044308994007629506,0.04432613839310409
2022.5,0.25534505247588746,0.09161951581826513,0.08770948269587386,0.04419792108039666,0.04421578545608683
2023.0,0.2768671538862035,0.09451225884398537,0.09049809074361714,0.04408460479786144,0.04410322676401263
2023.5,0.2975807509092452,0.09741607436698978,0.09329499166263952,0.04396943006529691,0.043988845398540116
2024.0,0.31749602489413103,0.10162982684351868,0.09609984092169195,0.04385278222293938,0.04387302468851502
2024.5,0.3366245042159569,0.10650948466085877,0.09958668075809249,0.04463039081923795,0.04375614297614763
2025.0,0.3549790482646444,0.11237459773270225,0.10399068509780648,0.04569901134642969,0.04363856861692005
2025.5,0.372573778259735,0.11825428178363132,0.10911216953502084,0.0467774711029791,0.04383671955548741
2026.0,0.3894239739771454,0.12414764582380551,0.11477037752093938,0.04786554488896554,0.0448480329113806
2026.5,0.40554595210649824,0.13005372619384276,0.12043564888151775,0.04896334056183865,0.04586858526150475
2027.0,0.4209569353462713,0.13597157250135208,0.1261069325314333,0.050070873851736794,0.046897029177940835
2027.5,0.43567538813278234,0.14190027629180718,0.13178315211693903,0.051188271800570825,0.04793346729617577
2028.0,0.4497205114913123,0.14783895780308132,0.13746320542746754,0.05231563424591798,0.0489779544254727
2028.5,0.4631119851351639,0.1537867423130656,0.14314599925465368,0.05345303551294159,0.05003050105497304
2029.0,0.47586983777095626,0.15974276006664045,0.1488304364891927,0.05460054660885964,0.051091101250028796
2029.5,0.4880142975866841,0.16570612482072464,0.15451541334604085,0.05575843919254794,0.05215993376108003
2030.0,0.4995656251110236,0.17167595301085492,0.16019984244757202,0.05692671697598568,0.05323690754556465
2030.5,0.5070293693379234,0.17765165227476926,0.16588315931279746,0.058105354840143404,0.05432190060006109
2031.0,0.5140777084793137,0.18363259188093234,0.17156487582239505,0.059786490897382645,0.055988986665375086
2031.5,0.5208641213612466,0.19176474083430117,0.17724409628921323,0.06185313511362845,0.05795988697500079
2032.0,0.5273935246600322,0.2030961038684488,0.18291987248758426,0.06391965430258242,0.05992800053652389
2032.5,0.533674511304906,0.2143759795527453,0.18859154400690376,0.0659846661257139,0.0618919239800213
2033.0,0.5398303201463628,0.22560104660066485,0.19425800617851455,0.06935132266738894,0.06384968573892932
2033.5,0.5458614412800987,0.24052304025095572,0.20368879510360458,0.07274316474953824,0.06579851868773683
